Class,10A,10B,10C,10D,10E,10G,10H,10K,10M,10N,11A,11B,11C,11D,11E,11G,11H,11K,11M,11N,11P,11Q,11T,12A,12B,12C,12D,12E,12G,12H,12K,12M,12N
T2 - AM - Tiet 1,GV1039 - Hoa,GV1058 - Dia,GV1057 - Dia,GV1013 - Van,GV1032 - Ly,GV1002 - Toan,GV1049 - Sinh,GV1030 - Anh,GV1071 - Tin,,GV1008 - Toan,GV1037 - Ly,GV1056 - Dia,GV1035 - Ly,GV1010 - Toan,GVNN01 - AVNN,GV1017 - Van,GV1070 - Tin,GV1020 - Van,GV1021 - Van,GV1009 - Toan,GV1007 - Toan,GV1006 - Toan,GV1033 - SHL,GV1048 - SHL,GV1019 - SHL,GV1005 - SHL,GV1022 - SHL,GV1012 - SHL,GV1028 - SHL,GV1029 - SHL,GV1004 - SHL,GV1052 - SHL
T2 - AM - Tiet 2,GV1067 - QP,GV1008 - Toan,GV1017 - Van,GV1058 - Dia,GV1049 - Sinh,GV1062 - TD,GV1010 - Toan,GV1021 - Van,,GV1071 - Tin,GV1040 - Hoa,GV1065 - TD,GV1026 - Anh,GV1061 - SHL,GV1015 - Van,,GVNN02 - AVNN,GV1044 - Hoa,GV1024 - Anh,GV1054 - Su,GV1018 - Van,GV1068 - Tin,GV1006 - Toan,GV1004 - Toan,GV1043 - Hoa,GV1045 - Sinh,GV1005 - Toan,GV1007 - Toan,GV1003 - Toan,GV1019 - Van,GV1029 - Anh,GV1051 - Su,GV1001 - Toan
T2 - AM - Tiet 3,GV1053 - Su,GV1031 - Anh,GV1003 - Toan,GV1023 - Anh,GV1043 - Hoa,GV1051 - Su,GV1064 - TD,GV1002 - Toan,GV1008 - Toan,,GV1065 - TD,GV1018 - Van,GV1017 - Van,GV1020 - Van,GV1015 - SHL,GV1021 - Van,GV1066 - QP,GV1016 - Van,GV1009 - Toan,GV1063 - TD,GV1026 - Anh,GV1007 - Toan,GV1006 - Toan,GV1004 - Toan,GV1068 - Tin,GV1025 - Anh,GV1005 - Toan,GV1022 - Anh,GV1052 - Su,GV1028 - Anh,GV1042 - Hoa,GV1067 - QP,GV1045 - Sinh
T2 - AM - Tiet 4,GV1069 - Tin,GV1046 - CN,GV1043 - Hoa,,GV1057 - Dia,,GV1020 - SHL,GV1064 - TD,GV1044 - Hoa,GV1010 - Toan,GV1008 - Toan,GV1004 - Toan,GV1017 - Van,GV1002 - Toan,GV1015 - Van,GV1006 - Toan,GVNN02 - AVNN,GV1007 - Toan,GV1037 - Ly,GV1063 - TD,GV1018 - Van,GV1013 - Van,GV1025 - Anh,GV1048 - Sinh,GV1011 - Van,GV1066 - QP,GV1035 - Ly,GV1045 - Sinh,GV1047 - Sinh,GV1005 - Toan,GV1051 - Su,GV1022 - Anh,GV1071 - Tin
T2 - AM - Tiet 5,GV1039 - Hoa,,GV1069 - Tin,,GV1059 - GDCD,GV1027 - Anh,GV1057 - Dia,GV1034 - Ly,GV1046 - CN,GV1033 - Ly,GV1028 - Anh,GV1004 - Toan,GV1026 - Anh,GVNN02 - AVNN,GV1015 - Van,GV1021 - Van,GV1017 - SHL,GV1053 - Su,GVNN01 - AVNN,GV1006 - Toan,GV1009 - Toan,GV1066 - QP,GV1025 - Anh,GV1018 - Van,GV1051 - Su,GV1064 - TD,GV1005 - Toan,GV1007 - Toan,GV1052 - Su,GV1045 - Sinh,GV1063 - TD,GV1011 - Van,GV1067 - QP
T2 - PM - Tiet 1,GV1069 - Tin,,GV1003 - Toan,GV1013 - Van,GV1012 - Van,GV1027 - Anh,GV1044 - Hoa,GV1030 - Anh,GV1058 - Dia,GV1010 - Toan,GV1073 - CN,GV1018 - Van,GVNN01 - AVNN,GV1002 - Toan,GV1015 - Van,GV1025 - Anh,GV1017 - Van,GV1016 - Van,GV1024 - Anh,GV1021 - Van,GV1009 - Toan,GV1007 - Toan,GV1006 - Toan,GV1023 - Anh,GV1038 - Ly,GV1045 - Sinh,GV1039 - Hoa,GV1040 - Hoa,GV1067 - QP,GV1019 - Van,GV1071 - Tin,GV1063 - TD,GV1037 - Ly
T2 - PM - Tiet 2,GV1036 - Ly,GV1058 - Dia,GV1057 - Dia,GV1054 - Su,GVNN02 - AVNN,GV1011 - Van,GV1059 - GDCD,GV1021 - SHL,GV1026 - Anh,GV1039 - Hoa,GV1013 - Van,GV1030 - Anh,GV1038 - SHL,GV1020 - Van,GV1056 - Dia,GV1035 - Ly,GV1041 - Hoa,GVNN03 - AVNN,GV1037 - Ly,GV1034 - Ly,GV1018 - Van,GV1042 - Hoa,GV1016 - Van,GV1033 - Ly,GV1007 - Toan,GV1019 - Van,GV1051 - Su,GV1045 - Sinh,GV1025 - Anh,GV1005 - Toan,GV1003 - Toan,GV1004 - Toan,GV1001 - Toan
T2 - PM - Tiet 3,GV1036 - Ly,GV1031 - Anh,GV1043 - Hoa,GV1013 - SHL,GV1062 - TD,GV1011 - Van,,GV1021 - Van,,GV1058 - Dia,GV1008 - Toan,GV1018 - Van,GV1026 - Anh,GV1002 - Toan,GV1044 - Hoa,GV1025 - Anh,GV1010 - Toan,GV1030 - Anh,GV1009 - Toan,GV1006 - Toan,GV1068 - Tin,GV1027 - Anh,GV1066 - QP,GV1039 - Hoa,GV1007 - Toan,GV1001 - Toan,GV1064 - TD,GV1052 - Su,GV1003 - Toan,GV1045 - Sinh,GV1067 - QP,GV1004 - Toan,GV1023 - Anh
T2 - PM - Tiet 4,GV1057 - Dia,GV1016 - Van,,,GV1032 - Ly,GV1058 - Dia,GV1020 - Van,GV1002 - Toan,GV1026 - Anh,GV1010 - Toan,GV1013 - Van,GV1018 - Van,GV1017 - Van,GV1070 - Tin,GV1066 - QP,GV1042 - Hoa,GV1065 - TD,GV1007 - Toan,GV1037 - Ly,GV1049 - Sinh,GV1009 - Toan,GVNN01 - AVNN,GV1073 - CN,GV1064 - TD,GV1011 - Van,GV1051 - Su,GV1039 - Hoa,GV1022 - Anh,GV1047 - Sinh,GV1035 - Ly,GV1003 - Toan,GV1063 - TD,GV1023 - Anh
T2 - PM - Tiet 5,GV1003 - Toan,,GV1022 - Anh,GV1009 - Toan,,GV1011 - Van,GV1032 - Ly,GVNN02 - AVNN,GV1064 - TD,GV1030 - Anh,GV1034 - Ly,GV1018 - Van,GV1040 - Hoa,GV1020 - Van,GV1010 - Toan,GV1073 - CN,GV1070 - Tin,GV1016 - Van,GV1024 - Anh,GV1031 - Anh,GV1044 - Hoa,GV1077 - Ly,GV1025 - Anh,GV1052 - Su,GV1007 - Toan,GV1066 - QP,GV1015 - Van,GV1071 - Tin,GV1065 - TD,GV1005 - Toan,GV1048 - Sinh,GV1047 - Sinh,GV1001 - Toan
